belongs_to_collection,release_date,title,vote_average
"{'id': 19285, 'name': 'Leprechaun Collection (Original Series)', 'poster_path': '/kdnaM7K8T8oXwWk2QdiWEs8Zg2w.jpg', 'backdrop_path': '/pRjYboGyfjO5PkY7Rdg21s4FhoI.jpg'}",12/25/1996,Leprechaun 4: In Space,3.6
"{'id': 19285, 'name': 'Leprechaun Collection (Original Series)', 'poster_path': '/kdnaM7K8T8oXwWk2QdiWEs8Zg2w.jpg', 'backdrop_path': '/pRjYboGyfjO5PkY7Rdg21s4FhoI.jpg'}",3/28/2000,Leprechaun in the Hood,4.4
,9/28/1960,The Dark at the Top of the Stairs,7
,10/1/1950,Story of a Love Affair,6.6
,10/25/2001,The Man Who Sued God,6.1
"{'id': 8385, 'name': ""Aki Kaurismäki's Finland trilogy"", 'poster_path': '/ox6eqFVJRMv2eYFrSUepxIddfjL.jpg', 'backdrop_path': None}",2/3/2006,Lights in the Dusk,6.6
,10/20/1995,Kummeli Stories,6.4
,8/16/1940,Stranger on the Third Floor,6.1
"{'id': 8918, 'name': 'The Hills Have Eyes (Reboot) Collection', 'poster_path': '/gtD46W2GXsdGOFa9jfUT3G0OEij.jpg', 'backdrop_path': '/A0LX8YBYBZtfj0gR5Pkgz87cmcb.jpg'}",3/10/2006,The Hills Have Eyes,6.1
,3/9/2006,The Shaggy Dog,4.5
,5/21/1995,A Personal Journey with Martin Scorsese Through American Movies,8.3
"{'id': 937, 'name': 'The Pink Panther (Original) Collection', 'poster_path': '/xu6gZ0zGUSR8SC2QLKFaUrX2niM.jpg', 'backdrop_path': '/6KE7AguGR3UqwUn5RkzkoBc3MLy.jpg'}",7/19/1968,Inspector Clouseau,4.1
"{'id': 937, 'name': 'The Pink Panther (Original) Collection', 'poster_path': '/xu6gZ0zGUSR8SC2QLKFaUrX2niM.jpg', 'backdrop_path': '/6KE7AguGR3UqwUn5RkzkoBc3MLy.jpg'}",1/1/1993,Son of the Pink Panther,3.8
,6/1/2005,Unknown White Male,6.5
,3/15/2006,The Lives of Others,7.9
,11/3/1967,The Red and the White,6.8
,3/14/1999,Fatty Drives the Bus,8
,2/13/1987,City on Fire,6.9
,1/1/1996,"Goodbye South, Goodbye",6.7
,6/11/1922,Nanook of the North,7.2
,9/29/1972,Don't Torture a Duckling,7.6
,9/26/1980,Resurrection,6.4
,4/21/1963,Youth of the Beast,6.3
,7/12/1978,Go Tell the Spartans,6.7
,7/10/1970,They Call Me Mister Tibbs!,5.4
,3/17/2006,Take the Lead,6.6
,5/25/1977,The Lacemaker,5.4
,1/23/2005,The Devil and Daniel Johnston,8.1
,9/24/1983,L’argent,6.8
,5/30/1962,The Trial of Joan of Arc,6.8
,3/28/1967,Mouchette,7.3
,3/24/2006,The Caiman,6.2
,2/24/2006,Lucky Number Slevin,7.4
,9/5/2005,The Wild Blue Yonder,5.7
,10/30/2003,Wheel of Time,5.9
,11/12/2004,Riot On!,4.9
,3/16/2006,Volver,7.3
,1/16/2006,The N Word,6
,4/28/2006,Akeelah and the Bee,6.7
,8/22/2003,Lisbela and the Prisoner,7.5
,6/22/2001,Brainstorm,7.4
"{'id': 52760, 'name': 'Urban Legend', 'poster_path': '/xhxs9fukHkkFgVcdoWKViiqduLo.jpg', 'backdrop_path': '/hSMhHSKOXLe0VGiDSbTwBbX55xv.jpg'}",7/19/2005,Urban Legends: Bloody Mary,4.9
,3/24/2006,Larry the Cable Guy: Health Inspector,3.3
,3/24/2006,Stay Alive,5.3
,11/15/1935,Annie Oakley,5.5
"{'id': 86336, 'name': 'Basic Instinct Collection', 'poster_path': '/hiM5EvFgjFboZtPMY5vFjhNnRQc.jpg', 'backdrop_path': '/o5rgryRLwlOApsO3toqpqhhdS7H.jpg'}",3/29/2006,Basic Instinct 2,4.6
,1/30/2005,Brick,6.8
,9/23/1977,The Brothers Lionheart,6.9
,2/8/2000,The Dead Hate the Living!,3.9
,3/10/2006,Evil Aliens,6.1
,10/25/2005,Santa's Slay,5.3
,3/11/2005,The Dark Hours,5.5
,1/26/2006,This Film Is Not Yet Rated,7.3
,10/14/2005,Fragile,6
,3/31/2006,ATL,6
,5/18/1986,The Brotherhood of Justice,4.1
,3/31/2006,Slither,6.3
,4/7/2006,The Benchwarmers,5.2
,1/1/2006,Phat Girlz,3.7
,3/16/2006,Renaissance,6.7
,1/6/2005,Go for Zucker,6.6
,5/1/1961,The Curse of the Werewolf,6.5
,10/11/2005,Dead Fish,5.8
,9/7/2006,Friends with Money,5.1
,12/6/2000,The King Is Dancing,7.2
,9/3/2004,Keane,6.7
,4/16/2005,Reefer Madness: The Movie Musical,6.9
,10/5/2003,I Love Your Work,6.5
,10/21/2005,Beauty and the Bastard,6.2
,12/22/1955,Dementia,6.5
,11/8/1978,Magic,7
,2/15/2006,Candy,7
,3/24/1926,Secrets of a Soul,5.5
,7/10/2005,The Child,7
,3/10/2002,11-Sep,7.6
,1/30/1974,"Lacombe, Lucien",7.2
,5/5/2006,Hoot,5.5
,6/21/1974,Where the Red Fern Grows,6.7
"{'id': 4246, 'name': 'Scary Movie Collection', 'poster_path': '/nsD3xlHagixzVYaE57EESeVYro7.jpg', 'backdrop_path': '/qPRZ1HpvpPM81cBTwNKXlqtH9MT.jpg'}",4/13/2006,Scary Movie 4,5.3
,1/14/2005,Hard Candy,6.8
,1/1/2004,Dead Birds,5.7
,8/30/1967,La Chinoise,7.4
,9/9/2004,Shutter,6.8
,6/9/2006,A Prairie Home Companion,6.4
,3/1/2006,Even Money,5.7
,10/2/1977,The Chess Players,6.9
,8/6/1987,Pinocchio and the Emperor of the Night,5.3
,6/2/1978,Corvette Summer,5.5
,4/19/2006,The Sentinel,5.8
,10/29/1965,Mirage,6.5
,2/3/2005,The President's Last Bang,6.8
,3/6/2006,The Wild,5.1
,11/4/2005,My Brother's Wife,4.8
"{'id': 64748, 'name': 'Silent Hill Collection', 'poster_path': '/4cJgWqtVfVxxzpqyKkUtClHY0VM.jpg', 'backdrop_path': '/yBpC88ucxLLjD7rXqfA4Irk92ka.jpg'}",4/21/2006,Silent Hill,6.3
,5/15/2005,Battle in Heaven,5.6
,3/4/2006,American Dreamz,4.9
,12/19/1938,Hôtel du Nord,7.4
,4/18/2006,Irresistible,5.5
,12/26/1931,Mata Hari,6.1
,7/2/1998,23,7.1
,8/30/2005,Kinky Boots,6.3
,10/14/1942,The Glass Key,6.2
"{'id': 251970, 'name': 'The Protector Collection', 'poster_path': '/pa2IOz6zLpivXUKaaiQn1kxfZW1.jpg', 'backdrop_path': '/wPN8ZJ2ykqpYQfIpere20Lp8XDp.jpg'}",8/11/2005,The Protector,6.8
"{'id': 87359, 'name': 'Mission: Impossible Collection', 'poster_path': '/gwyJPIhCK4Xz2WogeBnhCSQfUek.jpg', 'backdrop_path': '/49L0c5utmm0A4BkeDafM9BOhyBT.jpg'}",5/3/2006,Mission: Impossible III,6.5
,5/19/2005,The Wayward Cloud,6.9
"{'id': 158038, 'name': 'Die Nibelungen Collection', 'poster_path': '/yvjR1JVRds61vmrZfWKjUmFSZrE.jpg', 'backdrop_path': None}",2/13/1924,Die Nibelungen: Siegfried,7.7
"{'id': 158038, 'name': 'Die Nibelungen Collection', 'poster_path': '/yvjR1JVRds61vmrZfWKjUmFSZrE.jpg', 'backdrop_path': None}",4/25/1924,Die Nibelungen: Kriemhild's Revenge,7.5
,11/22/2002,The Coast Guard,6.8
,4/28/2006,RV,5.6
,4/28/2006,United 93,6.9
,4/21/2006,Stick It,6.3
,1/1/1948,Secret Beyond the Door,5.8
,9/1/2005,Man Push Cart,7
,3/18/2005,The World,7.3
,8/12/1970,Soldier Blue,7.1
,10/21/1933,Footlight Parade,5.8
,11/21/2004,LolliLove,6.1
,5/5/2005,An American Haunting,5.3
,5/13/2005,Down in the Valley,6
"{'id': 377545, 'name': 'Samurai Trilogy', 'poster_path': '/qt2ZGJezaW4PNR2lzCDbD9q7dIL.jpg', 'backdrop_path': None}",10/30/2004,The Hidden Blade,7.6
,4/22/2006,Over the Hedge,6.3
,11/10/2006,Art School Confidential,6.1
,5/12/2006,Poseidon,5.5
"{'id': 115776, 'name': 'Robert Langdon Collection', 'poster_path': '/mZDeXsVhBxnWD3tGOQ69vKS3WYL.jpg', 'backdrop_path': '/j1IqpLhCypllamjKe6C2RstjfEQ.jpg'}",5/17/2006,The Da Vinci Code,6.5
"{'id': 748, 'name': 'X-Men Collection', 'poster_path': '/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg', 'backdrop_path': '/Abnosho2v3bcdvDww6T7Hfeczm1.jpg'}",5/24/2006,X-Men: The Last Stand,6.3
,6/1/2006,The Break-Up,5.6
,3/30/2006,Peaceful Warrior,7.3
,9/11/2005,Twelve and Holding,7
,8/17/2005,Wah-Wah,6.3
,5/12/2006,Keeping Up with the Steins,5.2
"{'id': 87118, 'name': 'Cars Collection', 'poster_path': '/uq3N2SFj1Y06zA6LzCQPkmBdaaE.jpg', 'backdrop_path': '/yPyhZ5OpYs68Bb8u0PZ1tH0QIgd.jpg'}",6/8/2006,Cars,6.6
,9/12/2005,Wassup Rockers,6.4
,9/3/2005,The Lost City,5.9
,1/2/2005,Standing Still,5.7
,9/27/2005,Carlito's Way: Rise to Power,4.3
,10/17/1996,Conspirators of Pleasure,7.4
,9/29/1944,Tall in the Saddle,5.9
,9/5/1956,Beyond a Reasonable Doubt,7
,4/1/1989,Sinbad of the Seven Seas,3.7
,11/2/1973,The Earth Is a Sinful Song,7.8
,6/3/2005,Shanghai Dreams,5.6
,12/25/1954,Vera Cruz,6.9
,9/14/2005,The Notorious Bettie Page,6.6
,11/2/2005,The Mechanik,5.2
,1/1/1986,Parting Glances,5.2
,3/10/2005,Game 6,4.6
,1/1/2005,American Gun,5.4
,1/24/2006,Marilyn Hotchkiss' Ballroom Dancing & Charm School,5.1
,8/18/2005,On a Clear Day,6.4
,6/6/2006,The Omen,5.3
,1/1/2005,The King,6.5
,6/16/2006,Nacho Libre,5.6
,6/16/2006,The Lake House,6.5
,6/22/2006,Click,6
,8/21/1943,The Seventh Victim,6.4
,1/1/1971,Bleak Moments,7.5
,11/12/1974,Edvard Munch,6.9
,9/17/1921,The Ace of Hearts,6.5
,6/30/2006,The Devil Wears Prada,7
"{'id': 295, 'name': 'Pirates of the Caribbean Collection', 'poster_path': '/zT5UKFhq9nk97VGlBbAxlAK8UFN.jpg', 'backdrop_path': '/cnKAGbX1rDkAquF2V1wVkptHDJO.jpg'}",6/20/2006,Pirates of the Caribbean: Dead Man's Chest,7
,7/14/2006,"You, Me and Dupree",5.4
"{'id': 182813, 'name': 'Clerks Collection', 'poster_path': '/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg', 'backdrop_path': '/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg'}",5/25/2006,Clerks II,6.9
,7/21/2006,Lady in the Water,5.3
,6/20/2006,My Super Ex-Girlfriend,4.8
,6/14/1957,Tammy and the Bachelor,7.8
,8/17/1945,Lady on a Train,6.1
,6/16/1965,Nightmare Castle,4.3
,5/13/1970,Let It Be,7.6
,12/1/1999,"Farewell, Home Sweet Home",3.5
"{'id': 296872, 'name': 'See No Evil Collection', 'poster_path': '/kDZmPN6pdvQcoQHRtLcl3ZVfYbZ.jpg', 'backdrop_path': None}",5/19/2006,See No Evil,4.8
,5/24/2006,Marie Antoinette,6.5
,1/23/1947,Lady in the Lake,5.6
,11/6/1971,Trial on the Road,6.6
,8/4/2006,Who Killed the Electric Car?,7.2
,10/15/2003,The Miracle of Bern,6.1
,5/1/1973,The Mother and the Whore,8
,1/24/2006,An Inconvenient Truth,6.7
,4/22/1938,Test Pilot,6.7
,3/29/1991,Career Opportunities,5.9
"{'id': 166376, 'name': 'Hollow Man Collection', 'poster_path': '/zpz2Jdm1JZsCVs3wb5JxDGzGYIe.jpg', 'backdrop_path': '/r7GbKuuNdoEAzXCfA4My1kj85Z2.jpg'}",5/23/2006,Hollow Man II,4.8
,1/1/1987,Chuck Berry: Hail! Hail! Rock 'n' Roll,8.4
,3/6/1968,Psych-Out,4.7
,6/1/2006,National Lampoon's Cattle Call,4.3
,10/10/1946,Sister Kenny,6.7
,10/1/2004,Mountain Patrol,6.8
"{'id': 87253, 'name': 'High School Musical Collection', 'poster_path': '/dXIgM9sEWIkUfRH8GZUKHv1t5n.jpg', 'backdrop_path': '/t1mwGPJi3NkwMeyeUHr9zlQhlTo.jpg'}",1/20/2006,High School Musical,6.1
,5/20/2003,Ice Bound - A Woman's Survival at the South Pole,6
,7/1/2005,Drawing Restraint 9,6
,5/27/2005,Crossing the Bridge: The Sound of Istanbul,8.1
,10/14/2005,I Am a Sex Addict,6.3
,5/16/2005,Lower City,6.1
,12/9/1999,Forever Mine,4.4
,9/30/2005,The War Within,7
,3/2/2005,The Ax,7
,3/31/2006,Adam & Steve,4.9
,5/7/1922,Beyond the Rocks,5
,3/10/2005,Bob the Butler,5.7
"{'id': 203178, 'name': 'Jack Frost Collection', 'poster_path': None, 'backdrop_path': None}",1/1/2000,Jack Frost 2: Revenge of the Mutant Killer Snowman,4.8
,11/18/2005,Stoned,5.4
,4/10/1937,Marked Woman,7
,10/30/1979,Running,6.5
,9/10/1932,Blessed Event,10
,1/26/2006,Fearless,7.3
,10/10/1931,Susan Lenox (Her Fall and Rise),6.2
,5/29/1992,The Adjuster,6.5
"{'id': 9485, 'name': 'The Fast and the Furious Collection', 'poster_path': '/mCkqJf4ijbNoBWvJ0RTWZJuhJUA.jpg', 'backdrop_path': '/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg'}",6/3/2006,The Fast and the Furious: Tokyo Drift,6.1
"{'id': 86115, 'name': 'Garfield Collection', 'poster_path': '/fPCiS9fijCf8zHaddw2QHL6SLgK.jpg', 'backdrop_path': '/hamWxhHSk0oZTcX8uj4PnAooM6h.jpg'}",6/15/2006,Garfield: A Tail of Two Kitties,5.1
,9/14/2005,Metal: A Headbanger's Journey,7.8
,9/9/2005,Summer in Berlin,6.7
,1/1/1992,The Public Eye,5.6
,2/3/1949,The Bribe,5.8
,1/1/1945,Without Love,6
,6/23/2006,Waist Deep,6.6
"{'id': 351721, 'name': 'The Sheriff and the Satellite Kid Collection', 'poster_path': '/jh82Zjk9DggnyCxtHq5PM5tfD1y.jpg', 'backdrop_path': '/isksgMiFiRG36nqvShoVOyQzGa3.jpg'}",8/10/1979,The Sheriff and the Satellite Kid,5.9
,12/9/1966,Triple Cross,5.5
,6/2/2005,Mouth to Mouth,5.5
,7/9/1976,Mad Dog Morgan,5.9
,3/24/1929,Spite Marriage,6.1
"{'id': 8537, 'name': 'Superman Collection', 'poster_path': '/fgTdu62v1jjNDPh68V9TJZMgXbo.jpg', 'backdrop_path': '/la0EhOrgVAiY8sf3ILz3wgoaNXH.jpg'}",6/28/2006,Superman Returns,5.4
,9/3/1991,Edward II,5.7
,3/9/2006,The Road to Guantanamo,6.7
,9/11/2006,Leonard Cohen: I'm Your Man,6.4
,8/31/2005,Edmond,6
,3/30/2006,The Oh in Ohio,5.8
,7/26/2006,Little Miss Sunshine,7.5
,1/1/2005,Brothers of the Head,6.7
,2/24/2006,Forgiving Dr. Mengele,7
,8/15/2003,Fuse,6.4
"{'id': 937, 'name': 'The Pink Panther (Original) Collection', 'poster_path': '/xu6gZ0zGUSR8SC2QLKFaUrX2niM.jpg', 'backdrop_path': '/6KE7AguGR3UqwUn5RkzkoBc3MLy.jpg'}",8/12/1983,Curse of the Pink Panther,3.6
"{'id': 10721, 'name': 'Mimic Collection', 'poster_path': '/oKG4cGU0hw6ONVyjrS2qECQinrg.jpg', 'backdrop_path': '/AmlJVxC6M1BfZgpgtuBoTg1Jwqq.jpg'}",4/14/2003,Mimic: Sentinel,4.8
,1/2/1987,Rock 'n' Roll Nightmare,7.2
,9/10/2005,These Girls,4.4
,6/27/1970,Why Does Herr R. Run Amok?,7.5
,3/22/1999,Instrument: Ten Years with the Band Fugazi,7.1
,8/1/1962,The 300 Spartans,6.1
,9/30/1948,The Fallen Idol,7.1
,5/9/1947,Desperate,6.3
,1/1/1949,Knock on Any Door,6.1
,9/8/2006,Babel,6.9
,8/16/1935,China Seas,5.9
,11/18/1970,I Walk the Line,5.7
,1/4/2006,The Thief Lord,6
,12/1/1956,The Girl Can't Help It,6.5
"{'id': 246091, 'name': 'Krrish Collection', 'poster_path': '/h5lAktTIgcTyTrMMAY6Fa5mZ6Mh.jpg', 'backdrop_path': '/5LPLQgoIY2n0PDCEaOPUQuFksUV.jpg'}",6/23/2006,Krrish,5.5
,7/28/2006,Strangers with Candy,5.8
,1/1/1979,Prophecy,5.4
,2/1/1970,The Kremlin Letter,5.9
,6/9/1939,Young Mr. Lincoln,7.1
,1/20/2006,Subject Two,5.3
,6/11/1998,Blackjack,4.3
,5/20/2005,Three Times,7
,7/28/1976,The Gumball Rally,6.6
,6/26/2006,Wordplay,7.3
,9/10/1969,Army of Shadows,7.8
,10/1/1978,Orchestra Rehearsal,5.5
,8/31/2006,Little Man,5.3
,9/1/1934,Dames,3.1
,11/24/1933,Dancing Lady,6.2
,11/25/1954,The Purple Plain,5.5
,8/20/1975,Coonskin,6.5
"{'id': 131780, 'name': 'Whispering Corridors Collection', 'poster_path': '/snxMKlOnODej8e0dXTkO5uktGBa.jpg', 'backdrop_path': None}",12/24/1999,Whispering Corridors 2: Memento Mori,6.2
,3/22/2006,End Game,5.3
,12/2/2005,End of the Spear,6.1
,11/24/1962,Two for the Seesaw,4
,5/28/1968,The Detective,6.3
,7/21/2006,Monster House,6.3
,2/17/2005,Wrong Side Up,6
,1/20/2006,Just Love Me,5.8
,10/26/2005,How Much Do You Love Me?,5.5
,1/1/2005,Colour Me Kubrick,6.1
,7/24/1966,Death of a Bureaucrat,7
,8/6/2006,Snakes on a Plane,5.1
,7/27/2006,Scoop,6.4
,8/4/2006,Talladega Nights: The Ballad of Ricky Bobby,6.2
"{'id': 85943, 'name': 'Night at the Museum Collection', 'poster_path': '/q2nwE0Qi8U6tsU5HDmiWS2D3dSJ.jpg', 'backdrop_path': '/fOmqiIXfJmeANciOTCN6WkKbwK.jpg'}",10/20/2006,Night at the Museum,6.4
,8/9/2006,World Trade Center,5.9
,9/9/2006,Stranger Than Fiction,7.1
,6/1/1945,The Valley of Decision,5.8
,10/22/1959,The Last Angry Man,7
,2/18/1935,The Good Fairy,5
,3/29/2006,Sione's Wedding,5.9
,7/27/2006,Miami Vice,5.7
,6/9/2006,The Groomsmen,5.1
,9/9/2005,Shadowboxer,5.7
,8/19/1939,Each Dawn I Die,7.2
,8/23/1996,Loch Ness,5.2
,1/1/2003,"Good Morning, Night",6.5
,3/30/2005,Live and Become,7.2
,12/17/1951,On Dangerous Ground,6.5
,12/14/2006,The Pursuit of Happyness,7.7
,10/5/2000,Tears of the Black Tiger,6.6
,7/27/2006,John Tucker Must Die,5.9
,7/27/2006,The Ant Bully,5.5
,10/16/1923,Warning Shadows,7.1
,1/24/1920,Leaves from Satan's Book,5.7
,1/1/1924,Michael,8.3
,12/9/1933,Lady Killer,6.4
,11/25/2005,Mrs Palfrey at The Claremont,6.8
,5/17/2005,The Death of Mr. Lazarescu,6.8
,1/26/1975,Cría Cuervos,7
,4/19/1973,Ciao! Manhattan,5.5
,8/30/1961,"Gas, Inspector Palmu!",7.7
,12/13/1956,The Rainmaker,6.1
"{'id': 64751, 'name': 'Crank Collection', 'poster_path': '/wmUzRqcAi0KOW7sqnaAvEQtM8l.jpg', 'backdrop_path': '/cziWkSXQG3Vul0l3Mu2sOXLS1dC.jpg'}",8/31/2006,Crank,6.6
,12/15/2005,The Secret Life of Words,6.8
,3/31/2006,The Dudesons Movie,5.3
,12/21/2011,Black Gold,5.9
,11/5/1937,The Hurricane,5.9
,9/19/2006,Johnny Was,4
,1/1/2006,Played,2.4
,1/17/2005,Chaos,6.1
,2/12/2006,The Night Listener,5.5
,8/4/2006,Barnyard,5.3
,4/27/1971,Murmur of the Heart,7.4
,7/16/1947,They Won't Believe Me,6.2
,9/2/1955,The Left Hand of God,6.9
,4/1/1959,Compulsion,6.8
,8/21/1944,A Canterbury Tale,7.1
,5/17/1974,Dirty Mary Crazy Larry,6.7
,10/2/1940,Angels Over Broadway,5.7
,11/24/1985,Fortress,6.9
"{'id': 86092, 'name': 'Step Up Collection', 'poster_path': '/f4KxUp5IL5sgoDzFUL9GoUfy01C.jpg', 'backdrop_path': '/3jr0rQcsWyfqBlmzE0h0igjJohS.jpg'}",8/11/2006,Step Up,6.7
,8/11/2006,Zoom,4.9
"{'id': 417491, 'name': 'Bon Cop Bad Cop Collection', 'poster_path': None, 'backdrop_path': None}",7/6/2006,Bon Cop Bad Cop,6.5
,6/13/1941,Tom Dick and Harry,6.3
,8/7/2004,Mind Game,8
,1/1/2006,Land of the Blind,5.8
,8/11/2006,Half Nelson,6.5
,5/15/2005,The Moustache,6.1
,3/24/1994,Wing Chun,6.7
"{'id': 156240, 'name': 'The Heroic Trio Collection', 'poster_path': '/unfIZB9cc3fuEiQr5tomEGD4YVe.jpg', 'backdrop_path': '/uBPimOW5q2o5jit1bMhiFpLxCor.jpg'}",9/30/1993,Executioners,5.6
"{'id': 44917, 'name': 'Swordsman Collection', 'poster_path': '/bxLnMVMu6wnq5D0mmuo4XpvqUqL.jpg', 'backdrop_path': '/WfdfjUFMvjO0rMIaSnMHPwtP6g.jpg'}",6/26/1992,The Legend of the Swordsman,6.9
,9/6/1986,Peking Opera Blues,6.9
,9/9/2005,Tideland,6.3
,12/26/1947,Good News,6.2
,9/8/1995,Thunderbolt,6.3
,5/4/1935,G-Men,5.8
,4/15/2005,Adam's Apples,7.4
,4/9/1943,Cabin in the Sky,7.1
,12/31/1921,Tol'able David,5.7
,5/26/2006,2:37,6.7
,8/18/2006,Material Girls,4.8
,8/18/2006,Accepted,6.2
,9/10/2005,Lie with Me,5.2
,4/1/1977,Crime Busters,6.8
,12/25/1996,Att stjäla en tjuv,1
,10/29/1993,Drömkåken,4.4
,11/16/2001,Shake It,6.6
,5/3/1947,Born to Kill,6.4
,9/7/2005,Heading South,5.6
,8/4/1956,Seven Men from Now,6.8
,4/24/1936,Captain January,7
,8/18/2006,The Illusionist,7.1
,12/1/1948,Adventures of Don Juan,6.3
,4/30/1948,State of the Union,7
,5/24/1937,San Quentin,6.3
,9/15/2006,The Queen,6.8
,11/24/2004,36th Precinct,6.7
,8/25/2006,Beerfest,5.8
,1/1/2006,How to Eat Fried Worms,5.1
,8/25/2006,Invincible,6.7
,8/25/2006,Idlewild,5.1
,3/5/1938,A Slight Case of Murder,5.3
,11/11/2004,The Syrian Bride,6.1
,9/10/2005,"Sorry, Haters",6.5
,8/12/1976,The Ritz,6.4
,6/13/1962,My Geisha,6.3
,5/14/1945,Blithe Spirit,5.9
,4/16/1932,The Music Box,7.5
,10/19/1956,The Red Balloon,7.7
,4/16/1937,Way Out West,7.3
,12/21/2005,Angel-A,6.8
,12/7/1946,Green for Danger,6.5
,2/16/1940,A Chump at Oxford,7.5
,8/18/1938,Block-Heads,7.2
,2/16/1989,The Icicle Thief,8.1
,6/5/2006,Quinceañera,7
,1/17/2005,The Puffy Chair,6.2
,12/16/2005,Lassie,6.7
,3/1/2005,Mutual Appreciation,6.1
,9/1/2006,The Wicker Man,4
,9/1/2006,Crossover,4.2
,9/12/2005,The Quiet,6.1
,5/12/2006,Sketches of Frank Gehry,6.3
,2/23/1982,Ivanhoe,6.4
,12/20/1984,Ronja Robbersdaughter,6.6
,2/25/1988,Framed,5.2
,2/19/1999,Breaking Out,5
,10/28/1994,Yrrol,6.5
,6/23/2006,The Wind That Shakes the Barley,7.1
,11/9/1948,Blood on the Moon,5.8
,7/6/1957,Le Notti Bianche,6.6
,2/10/2005,Fateless,6.7
,6/25/1958,The Bravados,5.7
,11/30/1932,The Sign of the Cross,5.4
,1/1/1955,The Criminal Life of Archibaldo de la Cruz,7.4
,7/1/1975,Overlord,6.6
,5/19/2006,Severance,6.4
,5/16/2005,Time to Leave,7.1
,8/31/2006,Hollywoodland,6.1
,9/8/2006,The Covenant,5.2
,1/14/1939,Jesse James,6.1
,3/3/2013,The Scar,0
,9/10/2006,The Last Kiss,5.9
,1/1/2005,Gabrielle,6
,9/1/2005,Trust the Man,5.5
,9/8/2006,Sherrybaby,6.3
,6/11/1998,Bio Zombie,6
,9/1/2006,Idiocracy,6.3
,9/15/2006,Jesus Camp,6.6
,5/12/2005,The Bow,6.7
,8/21/1935,The Crusades,3
,10/14/2005,The Tiger and the Snow,6.9
,7/18/1968,Pretty Poison,6.8
,9/6/2006,The Fountain,6.8
,3/9/1994,Fear City: A Family-Style Comedy,7.7
,4/30/1997,Assassin(s),6.3
,5/5/1939,Union Pacific,5.6
,12/4/1969,A Boy Named Charlie Brown,5.9
,9/8/1972,"Snoopy, Come Home",6.4
,6/9/1998,A Soldier's Sweetheart,7
,2/11/2006,The Science of Sleep,6.8
,9/21/1940,City for Conquest,6.8
,5/12/2005,Initial D,6.3
,1/17/1998,Wicked,5.3
,11/11/1940,The Long Voyage Home,6.4
,7/1/1955,Not as a Stranger,7.2
,9/15/2006,The Black Dahlia,5.7
,9/25/2006,The Woods,5.6
,9/15/2006,Everyone's Hero,5.9
,9/15/2006,Gridiron Gang,6.6
"{'id': 278467, 'name': 'Trilogía de la violencia de Michael Haneke', 'poster_path': '/3255nToAwUbGrpwSpZRN6ZEizXp.jpg', 'backdrop_path': '/jG44SCGglfYaFeMK2qQMk8CWOdf.jpg'}",5/19/1989,The Seventh Continent,7.6
,1/29/2004,Aaltra,6.8
,1/1/1945,Wonder Man,5.2
,12/16/1994,Lisbon Story,7.4
,1/1/1983,Streamers,6.8
,9/10/2004,Land of Plenty,5.4
,5/11/2005,Lemming,6.9
,8/23/2006,Taxidermia,6.3
,1/1/2003,Flight from Death: The Quest for Immortality,0
,5/22/2004,Yuva,6.5
,11/17/1966,Mondo Topless,5.9
,10/27/2006,The Bridge,7
"{'id': 294834, 'name': 'Vixens Collection', 'poster_path': '/yWIVyrHMJkRl9zhxexZSUXyXtIN.jpg', 'backdrop_path': None}",10/15/1968,Vixen!,5.5
,5/28/2005,Empire Falls,6.4
,2/1/1929,Piccadilly,6.9
,8/17/1933,The Private Life of Henry VIII,6.2
,12/7/2006,Apocalypto,7.3
,9/15/1993,Household Saints,5
,12/20/1957,Raintree County,5.2
,9/22/2006,Flyboys,6.3
"{'id': 17178, 'name': 'Jackass Collection', 'poster_path': '/olpnvtLgoScLiCg3YHJ3f27F98f.jpg', 'backdrop_path': '/lidPLbyE1JCUacEDOzkTCncCPBL.jpg'}",9/22/2006,Jackass Number Two,6.4
,9/10/2006,All the King's Men,5.7
,6/7/2006,Conversations with Other Women,6.2
"{'id': 19163, 'name': 'The Land Before Time Collection', 'poster_path': '/n1bjdBVThBezxR6nEf2dy43sTtV.jpg', 'backdrop_path': '/alkvR9vTtuZEmd5ygsayOfxYOMa.jpg'}",12/12/1994,The Land Before Time II: The Great Valley Adventure,6.1
,5/14/1918,Father Sergius,5
,2/6/1986,The Assault,6.8
,11/1/2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5
,1/1/2006,Iraq for Sale: The War Profiteers,8
,5/27/2006,Pan's Labyrinth,7.6
,3/28/1956,The Conqueror,3.8
,9/28/2006,The Guardian,6.8
"{'id': 66761, 'name': 'Open Season Collection', 'poster_path': '/ePeybVSOnCmuWrrvGEp8hzWn979.jpg', 'backdrop_path': '/cnaLzqjxlqGMIp7AGCizfVXUhSn.jpg'}",9/29/2006,Open Season,6.1
,9/29/2006,School for Scoundrels,5.6
,1/1/2005,Romy and Michele: In the Beginning,4
,10/18/1938,St. Martin's Lane,8
,11/12/2004,G.O.R.A.,7.4
,10/5/2006,The Departed,7.9
